node,product,amount(tonne/week),time
dairy129,p3,47.193487739999995,12
dairy129,p3,94.38697547999999,13
dairy129,p3,141.58046321999998,14
dairy129,p3,71.78625000000001,15
dairy134,p2,3030.6498500117054,1
dairy134,p2,3841.9672000234104,2
dairy134,p2,3739.2509560784756,3
dairy134,p2,3885.9174208484756,4
dairy134,p2,2665.0603596665896,5
dairy134,p2,2811.7268244365896,6
dairy134,p2,2958.3932892065895,7
dairy134,p2,1815.9360997291387,8
dairy134,p2,1722.6058185078075,9
dairy134,p2,807.0363852827031,10
dairy134,p2,953.7028500527031,11
dairy134,p2,79.79603523000006,14
dairy134,p2,226.46250000000006,15
dairy134,p3,2290.122731613,1
dairy134,p3,2360.9129632259996,2
dairy134,p3,2408.1064509659996,3
dairy134,p3,2319.1902363830104,4
dairy134,p3,1542.6846678899917,5
dairy134,p3,1589.8781556299916,6
dairy134,p3,1637.0716433699915,7
dairy134,p3,1138.7707720219933,8
dairy134,p3,1185.9642597619932,9
dairy134,p3,687.6633884139937,10
dairy134,p3,189.36251706599532,11
dairy134,p3,236.55600480599531,12
dairy134,p3,132.07552452000007,13
dairy134,p3,179.26901226000007,14
dairy134,p3,226.46250000000006,15
dairy135,p2,2883.19869717,1
dairy135,p2,3103.19839434,2
dairy135,p2,3323.1980915100003,3
dairy135,p2,3543.1977886800005,4
dairy135,p2,3763.1974858500007,5
dairy135,p2,1975.1251450437835,6
dairy135,p2,909.9465952351804,7
dairy135,p2,1129.9462924051804,8
dairy135,p2,886.952487564376,9
dairy135,p2,219.99969717,11
dairy135,p2,51.75530283000012,14
dairy135,p2,271.7550000000001,15
dairy135,p3,2733.98923161,1
dairy135,p3,2804.77946322,2
dairy135,p3,2875.5696948299997,3
dairy135,p3,2946.3599264399995,4
dairy135,p3,1457.312388893369,5
dairy135,p3,1146.7258682855124,6
dairy135,p3,70.79023160999999,8
dairy135,p3,70.79023160999999,11
dairy135,p3,59.38430517000016,12
dairy135,p3,130.17453678000015,13
dairy135,p3,200.96476839000013,14
dairy135,p3,271.7550000000001,15
dairy146,p2,4305.665475477,1
dairy146,p2,5291.997450954,2
dairy146,p2,5121.924901801941,3
dairy146,p2,4712.524322068862,4
dairy146,p2,3634.609876055985,5
dairy146,p2,2824.9035448767586,6
dairy146,p2,1775.3578395502122,7
dairy146,p2,905.9764744773352,8
dairy146,p2,38.100505306225045,13
dairy146,p3,3648.5080770089994,1
dairy146,p3,3977.6826540179995,2
dairy146,p3,3878.168728673651,3
dairy146,p3,3972.555704153651,4
dairy146,p3,4066.94267963365,5
dairy146,p3,4161.32965511365,6
dairy146,p3,4255.71663059365,7
dairy146,p3,4350.10360607365,8
dairy146,p3,4444.4905815536495,9
dairy146,p3,3641.316030492081,10
dairy146,p3,2693.1141953788706,11
dairy146,p3,1976.3962643983216,12
dairy146,p3,1264.7605426694881,13
dairy146,p3,374.397463491274,14
beef38,p1,31551.6190377,1
beef38,p1,32821.679075399996,2
beef38,p1,29604.6318606912,3
beef38,p1,26857.414129164048,4
beef38,p1,24981.846033205853,5
beef38,p1,23475.54218390567,6
